# Latin key <TAB> Devanagari word - generated from ne-words.sqlite3.
# Sorted by UTF-8 byte order, which is what fst's SetBuilder requires.
# Regenerate with tools/mkwords.py; do not hand-edit.
DaDhelo	डढेलो
bhinnabhinnai	भिन्नाभिन्नै
bhinnata	भिन्नता
bhinnataa	भिन्नता
bhir	भीर
bhiraalo	भिरालो
bhiralo	भिरालो
bhisa	भिसा
bhisaa	भिसा
bhishan	भीषण
bhishm	भीष्म
bhitaamin	भिटामिन
bhitamin	भिटामिन
bhitr	भित्र
bhitri	भित्री
bhitrii	भित्री
bhitta	भित्ता
bhittaa	भित्ता
bhitte	भित्ते
bhoT	भोट
bhoTe	भोटे
bhoTo	भोटो
bhog	भोग
bhogaai	भोगाइ
bhogai	भोगाइ
bhogchh	भोग्छ
bhogda	भोग्दा
bhogdaa	भोग्दा
bhogdai	भोग्दै
bhoge	भोगे
bhogeko	भोगेको
bhogne	भोग्ने
bhognu	भोग्नु
bhogyo	भोग्यो
bhoj	भोज
bhojabhater	भोजभतेर
bhojan	भोजन
bhojapuri	भोजपुरी
bhojapurii	भोजपुरी
bhok	भोक
bhokamari	भोकमरी
bhokamarii	भोकमरी
bhoko	भोको
bholi	भोलि
bhot	भोट
bhote	भोटे
bhoto	भोटो
bhraShT	भ्रष्ट
bhraShTaachaar	भ्रष्टाचार
bhraShTaachaarii	भ्रष्टाचारी
bhraamak	भ्रामक
bhraanti	भ्रान्ति
bhram	भ्रम
bhramaN	भ्रमण
bhramak	भ्रामक
bhraman	भ्रमण
bhranti	भ्रान्ति
bhrasht	भ्रष्ट
bhrashtaachaar	भ्रष्टाचार
bhrashtaachaari	भ्रष्टाचारी
bhrashtaachaarii	भ्रष्टाचारी
bhrashtaachar	भ्रष्टाचार
bhrashtaachari	भ्रष्टाचारी
bhrashtaacharii	भ्रष्टाचारी
bhrashtachaar	भ्रष्टाचार
bhrashtachaari	भ्रष्टाचारी
bhrashtachaarii	भ्रष्टाचारी
bhrashtachar	भ्रष्टाचार
bhrashtachari	भ्रष्टाचारी
bhrashtacharii	भ्रष्टाचारी
bhuTaanii	भुटानी
bhubhaag	भूभाग
bhubhag	भूभाग
bhudi	भुँडी
bhudii	भुँडी
bhugol	भूगोल
bhui	भुइँ
bhuichaalo	भुइँचालो
bhuichalo	भुइँचालो
bhui~	भुइँ
bhui~chaalo	भुइँचालो
bhukamp	भूकम्प
bhuktaan	भुक्तान
bhuktaani	भुक्तानी
bhuktaanii	भुक्तानी
bhuktan	भुक्तान
bhuktani	भुक्तानी
bhuktanii	भुक्तानी
bhul	भूल
bhumandaliikaran	भूमण्डलीकरण
bhumandalikaran	भूमण्डलीकरण
bhumari	भुमरी
bhumarii	भुमरी
bhumi	भूमि
bhumigat	भूमिगत
bhumihiin	भूमिहीन
bhumihin	भूमिहीन
bhumika	भूमिका
bhumikaa	भूमिका
bhumisudhaar	भूमिसुधार
bhumisudhar	भूमिसुधार
bhungro	भुङ्ग्रो
bhut	भूत
bhutaani	भुटानी
bhutaanii	भुटानी
bhutani	भुटानी
bhutanii	भुटानी
bhutapret	भूतप्रेत
bhutapurv	भूतपूर्व
bhutapuurv	भूतपूर्व
bhutukk	भुतुक्क
bhuubhaag	भूभाग
bhuubhag	भूभाग
bhuugol	भूगोल
bhuukamp	भूकम्प
bhuul	भूल
bhuumaNDaliikaraN	भूमण्डलीकरण
bhuumandaliikaran	भूमण्डलीकरण
bhuumandalikaran	भूमण्डलीकरण
bhuumi	भूमि
bhuumigat	भूमिगत
bhuumihiin	भूमिहीन
bhuumihin	भूमिहीन
bhuumika	भूमिका
bhuumikaa	भूमिका
bhuumisudhaar	भूमिसुधार
bhuumisudhar	भूमिसुधार
bhuut	भूत
bhuutapret	भूतप्रेत
bhuutapurv	भूतपूर्व
bhuutapuurv	भूतपूर्व
bhuvan	भुवन
bhu~Dii	भुँडी
bhu~Ngro	भुङ्ग्रो
bhyaaT	भ्याट
bhyaali	भ्याली
bhyaalii	भ्याली
bhyaan	भ्यान
bhyaat	भ्याट
bhyali	भ्याली
bhyalii	भ्याली
bhyan	भ्यान
bhyat	भ्याट
biT	बिट
biTo	बिटो
bibhats	बीभत्स
bich	बीच
bichalli	बिचल्ली
bichallii	बिचल्ली
bichara	बिचरा
bicharaa	बिचरा
bichchhi	बिच्छी
bichchhii	बिच्छी
bichhaTT	बिछट्ट
bichhatt	बिछट्ट
bichhoD	बिछोड
bichhod	बिछोड
bichhyaae	बिछ्याए
bichhyaaeko	बिछ्याएको
bichhyaauchh	बिछ्याउँछ
bichhyaaudai	बिछ्याउँदै
bichhyaauna	बिछ्याउना
bichhyaaunaa	बिछ्याउना
bichhyaaune	बिछ्याउने
bichhyaaunu	बिछ्याउनु
bichhyaau~chh	बिछ्याउँछ
bichhyaau~dai	बिछ्याउँदै
bichhyaayo	बिछ्यायो
bichhyae	बिछ्याए
bichhyaeko	बिछ्याएको
bichhyauchh	बिछ्याउँछ
bichhyaudai	बिछ्याउँदै
bichhyauna	बिछ्याउना
bichhyauna	बिछ्यौना
bichhyaunaa	बिछ्याउना
bichhyaunaa	बिछ्यौना
bichhyaune	बिछ्याउने
bichhyaunu	बिछ्याउनु
bichhyayo	बिछ्यायो
bida	बिदा
bidaa	बिदा
bidaai	बिदाइ
bidai	बिदाइ
bidi	बिँडी
bidii	बिँडी
bido	बिँडो
bigabigi	बिगबिगी
bigabigii	बिगबिगी
bigha	बिघा
bighaa	बिघा
bighn	बिघ्न
bigo	बिगो
bigradai	बिग्रँदै
bigranchh	बिग्रन्छ
bigrane	बिग्रने
bigranu	बिग्रनु
bigra~dai	बिग्रँदै
bigre	बिग्रे
bigreD	बिग्रेड
bigred	बिग्रेड
bigreko	बिग्रेको
bigryo	बिग्र्यो
bihaan	बिहान
bihaani	बिहानी
bihaanii	बिहानी
bihan	बिहान
bihani	बिहानी
bihanii	बिहानी
bihe	बिहे
bihibaar	बिहिबार
bihibar	बिहिबार
biibhats	बीभत्स
biich	बीच
biij	बीज
biijaaNu	बीजाणु
biijaanu	बीजाणु
biijaaropaN	बीजारोपण
biijaaropan	बीजारोपण
biijak	बीजक
biijanu	बीजाणु
biijaropan	बीजारोपण
biis	बीस
biiu	बीउ
bij	बीज
bijaanu	बीजाणु
bijaaropan	बीजारोपण
bijak	बीजक
bijanu	बीजाणु
bijaropan	बीजारोपण
bijhchh	बिझ्छ
bijhda	बिझ्दा
bijhdaa	बिझ्दा
bijhdai	बिझ्दै
bijhe	बिझे
bijheko	बिझेको
bijhne	बिझ्ने
bijhnu	बिझ्नु
bijhyo	बिझ्यो
bijog	बिजोग
bijuli	बिजुली
bijulii	बिजुली
bijuva	बिजुवा
bijuvaa	बिजुवा
bikchh	बिक्छ
bikda	बिक्दा
bikdaa	बिक्दा
bikdai	बिक्दै
bike	बिके
bikeko	बिकेको
bikh	बिख
bikne	बिक्ने
biknu	बिक्नु
bikreta	बिक्रेता
bikretaa	बिक्रेता
bikri	बिक्री
bikrii	बिक्री
bikriikar	बिक्रीकर
bikrikar	बिक्रीकर
bikyo	बिक्यो
bil	बिल
bilDi~N	बिल्डिङ
bilaae	बिलाए
bilaaeko	बिलाएको
bilaauchh	बिलाउँछ
bilaaudai	बिलाउँदै
bilaaune	बिलाउने
bilaaunu	बिलाउनु
bilaau~chh	बिलाउँछ
bilaau~dai	बिलाउँदै
bilaayo	बिलायो
bilae	बिलाए
bilaeko	बिलाएको
bilakhaband	बिलखबन्द
bilakul	बिलकुल
bilauchh	बिलाउँछ
bilaudai	बिलाउँदै
bilauna	बिलौना
bilaunaa	बिलौना
bilaune	बिलाउने
bilaunu	बिलाउनु
bilayo	बिलायो
bildin	बिल्डिङ
billa	बिल्ला
billaa	बिल्ला
bimaar	बिमार
bimaari	बिमारी
bimaarii	बिमारी
bimar	बिमार
bimari	बिमारी
bimarii	बिमारी
bina	बिना
binaa	बिना
binaayo	बिनायो
binayo	बिनायो
binti	बिन्ती
bintii	बिन्ती
bintiipatr	बिन्तीपत्र
bintipatr	बिन्तीपत्र
bipana	बिपना
bipanaa	बिपना
biphar	बिफर
biraae	बिराए
biraaeko	बिराएको
biraalo	बिरालो
biraam	बिराम
biraami	बिरामी
biraamii	बिरामी
biraano	बिरानो
biraauchh	बिराउँछ
biraaudai	बिराउँदै
biraaune	बिराउने
biraaunu	बिराउनु
biraau~chh	बिराउँछ
biraau~dai	बिराउँदै
biraayo	बिरायो
birae	बिराए
biraeko	बिराएको
biralo	बिरालो
biram	बिराम
birami	बिरामी
biramii	बिरामी
birano	बिरानो
birauchh	बिराउँछ
biraudai	बिराउँदै
biraune	बिराउने
biraunu	बिराउनु
birayo	बिरायो
birko	बिर्को
birsadai	बिर्सँदै
birsanchh	बिर्सन्छ
birsane	बिर्सने
birsanu	बिर्सनु
birsa~dai	बिर्सँदै
birse	बिर्से
birseko	बिर्सेको
birsyo	बिर्स्यो
birta	बिर्ता
birtaa	बिर्ता
biruva	बिरुवा
biruvaa	बिरुवा
bis	बीस
bisaae	बिसाए
bisaaeko	बिसाएको
bisaauchh	बिसाउँछ
bisaaudai	बिसाउँदै
bisaaune	बिसाउने
bisaaunu	बिसाउनु
bisaau~chh	बिसाउँछ
bisaau~dai	बिसाउँदै
bisaayo	बिसायो
bisae	बिसाए
bisaeko	बिसाएको
bisauchh	बिसाउँछ
bisaudai	बिसाउँदै
bisauli	बिसौली
bisaulii	बिसौली
bisaune	बिसाउने
bisauni	बिसौनी
bisaunii	बिसौनी
bisaunu	बिसाउनु
bisayo	बिसायो
biskuT	बिस्कुट
biskun	बिस्कुन
biskut	बिस्कुट
bistaar	बिस्तार
bistaarai	बिस्तारै
bistaaro	बिस्तारो
bistar	बिस्तार
bistara	बिस्तरा
bistaraa	बिस्तरा
bistarai	बिस्तारै
bistaro	बिस्तारो
bit	बिट
bitaae	बिताए
bitaaeko	बिताएको
bitaauchh	बिताउँछ
bitaaudai	बिताउँदै
bitaaune	बिताउने
bitaaunu	बिताउनु
bitaau~chh	बिताउँछ
bitaau~dai	बिताउँदै
bitaayo	बितायो
bitae	बिताए
bitaeko	बिताएको
bitauchh	बिताउँछ
bitaudai	बिताउँदै
bitaune	बिताउने
bitaunu	बिताउनु
bitayo	बितायो
bitchh	बित्छ
bitda	बित्दा
bitdaa	बित्दा
bitdai	बित्दै
bite	बिते
biteko	बितेको
bitholchh	बिथोल्छ
bitholda	बिथोल्दा
bitholdaa	बिथोल्दा
bitholdai	बिथोल्दै
bithole	बिथोले
bitholeko	बिथोलेको
bitholne	बिथोल्ने
bitholnu	बिथोल्नु
bitholyo	बिथोल्यो
bitne	बित्ने
bitnu	बित्नु
bito	बिटो
bitta	बित्ता
bittaa	बित्ता
bittha	बित्था
bitthaa	बित्था
bittikai	बित्तिकै
bityaas	बित्यास
bityas	बित्यास
bityo	बित्यो
biu	बिउ
biu	बीउ
biujhadai	बिउँझँदै
biujhanchh	बिउँझन्छ
biujhane	बिउँझने
biujhanu	बिउँझनु
biujhe	बिउँझे
biujheko	बिउँझेको
biujhyo	बिउँझ्यो
biu~jhanchh	बिउँझन्छ
biu~jhane	बिउँझने
biu~jhanu	बिउँझनु
biu~jha~dai	बिउँझँदै
biu~jhe	बिउँझे
biu~jheko	बिउँझेको
biu~jhyo	बिउँझ्यो
biya	बियाँ
biyaa	बियाँ
biyaa~	बियाँ
biyar	बियर
bi~Dii	बिँडी
bi~Do	बिँडो
blak	ब्लक
boDii	बोडी
boT	बोट
boTabiruvaa	बोटबिरुवा
bodh	बोध
bodi	बोडी
bodii	बोडी
bojh	बोझ
bojho	बोझो
bokchh	बोक्छ
bokda	बोक्दा
bokdaa	बोक्दा
bokdai	बोक्दै
boke	बोके
bokeko	बोकेको
bokne	बोक्ने
boknu	बोक्नु
boko	बोको
bokra	बोक्रा
bokraa	बोक्रा
boksi	बोक्सी
boksii	बोक्सी
bokyo	बोक्यो
bolD	बोल्ड
bolaae	बोलाए
bolaaeko	बोलाएको
bolaai	बोलाइ
bolaauchh	बोलाउँछ
bolaaudai	बोलाउँदै
bolaaune	बोलाउने
bolaaunu	बोलाउनु
bolaau~chh	बोलाउँछ
bolaau~dai	बोलाउँदै
bolaayo	बोलायो
bolachaal	बोलचाल
bolachal	बोलचाल
bolae	बोलाए
bolaeko	बोलाएको
bolai	बोलाइ
bolapatr	बोलपत्र
bolauchh	बोलाउँछ
bolaudai	बोलाउँदै
bolaune	बोलाउने
bolaunu	बोलाउनु
bolavaala	बोलवाला
bolavaalaa	बोलवाला
bolavala	बोलवाला
bolavalaa	बोलवाला
bolayo	बोलायो
bolchh	बोल्छ
bold	बोल्ड
bolda	बोल्दा
boldaa	बोल्दा
boldai	बोल्दै
bole	बोले
boleko	बोलेको
boli	बोली
bolichaali	बोलीचाली
bolichaalii	बोलीचाली
bolichali	बोलीचाली
bolichalii	बोलीचाली
bolii	बोली
boliichaali	बोलीचाली
boliichaalii	बोलीचाली
boliichali	बोलीचाली
boliichalii	बोलीचाली
bolne	बोल्ने
bolnu	बोल्नु
bolyo	बोल्यो
bonas	बोनस
bor	बोर
borD	बोर्ड
borDar	बोर्डर
borDi~N	बोर्डिङ
bora	बोरा
boraa	बोरा
bord	बोर्ड
bordar	बोर्डर
bordin	बोर्डिङ
bos	बोस
boso	बोसो
bot	बोट
botabiruva	बोटबिरुवा
botabiruvaa	बोटबिरुवा
botal	बोतल
braanD	ब्रान्ड
braand	ब्रान्ड
brahm	ब्रह्म
brahma	ब्रह्मा
brahmaa	ब्रह्मा
brahmaaND	ब्रह्माण्ड
brahmaand	ब्रह्माण्ड
brahmachaari	ब्रह्मचारी
brahmachaarii	ब्रह्मचारी
brahmachari	ब्रह्मचारी
brahmacharii	ब्रह्मचारी
brahmand	ब्रह्माण्ड
brand	ब्रान्ड
brek	ब्रेक
brekaphaasT	ब्रेकफास्ट
brekaphaast	ब्रेकफास्ट
brekaphast	ब्रेकफास्ट
briTis	ब्रिटिस
brigeD	ब्रिगेड
briged	ब्रिगेड
brihat	बृहत्
brihattar	बृहत्तर
britis	ब्रिटिस
buDhesakaal	बुढेसकाल
buDhiyaa	बुढिया
buDhyaulii	बुढ्यौली
buT	बुट
buTTaa	बुट्टा
buTii	बुटी
buTo	बुटो
buTyaan	बुट्यान
buba	बुबा
bubaa	बुबा
bud	बुँद
buda	बुँदा
budaa	बुँदा
buddh	बुद्ध
buddhi	बुद्धि
buddhichaal	बुद्धिचाल
buddhichal	बुद्धिचाल
buddhijiivi	बुद्धिजीवी
buddhijiivii	बुद्धिजीवी
buddhijivi	बुद्धिजीवी
buddhijivii	बुद्धिजीवी
buddhimaan	बुद्धिमान्
buddhimaani	बुद्धिमानी
buddhimaanii	बुद्धिमानी
buddhiman	बुद्धिमान्
buddhimani	बुद्धिमानी
buddhimanii	बुद्धिमानी
bude	बुँदे
budhaabudhi	बूढाबूढी
budhaabudhii	बूढाबूढी
budhaabuudhi	बूढाबूढी
budhaabuudhii	बूढाबूढी
budhaasubba	बूढासुब्बा
budhaasubbaa	बूढासुब्बा
budhabaar	बुधबार
budhabar	बुधबार
budhabudhi	बूढाबूढी
budhabudhii	बूढाबूढी
budhabuudhi	बूढाबूढी
budhabuudhii	बूढाबूढी
budhasubba	बूढासुब्बा
budhasubbaa	बूढासुब्बा
budhesakaal	बुढेसकाल
budhesakal	बुढेसकाल
budhi	बूढी
budhii	बूढी
budhiya	बुढिया
budhiyaa	बुढिया
budho	बूढो
budhyauli	बुढ्यौली
budhyaulii	बुढ्यौली
buhaari	बुहारी
buhaarii	बुहारी
buhaartan	बुहार्तन
buhari	बुहारी
buharii	बुहारी
buhartan	बुहार्तन
bui	बुई
buigal	बुइँगल
buii	बुई
bui~gal	बुइँगल
bujh	बुझ
bujhaae	बुझाए
bujhaaeko	बुझाएको
bujhaai	बुझाइ
bujhaauchh	बुझाउँछ
bujhaaudai	बुझाउँदै
bujhaaune	बुझाउने
bujhaaunu	बुझाउनु
bujhaau~chh	बुझाउँछ
bujhaau~dai	बुझाउँदै
bujhaayo	बुझायो
bujhae	बुझाए
bujhaeko	बुझाएको
bujhai	बुझाइ
bujhauchh	बुझाउँछ
bujhaudai	बुझाउँदै
bujhaune	बुझाउने
bujhaunu	बुझाउनु
bujhayo	बुझायो
bujhchh	बुझ्छ
bujhda	बुझ्दा
bujhdaa	बुझ्दा
bujhdai	बुझ्दै
bujhe	बुझे
bujheko	बुझेको
bujhne	बुझ्ने
bujhnu	बुझ्नु
bujhyo	बुझ्यो
bujo	बुजो
bujruk	बुज्रुक
bukuva	बुकुवा
bukuvaa	बुकुवा
bulDojar	बुल्डोजर
bulaaki	बुलाकी
bulaakii	बुलाकी
bulabul	बुलबुल
bulaki	बुलाकी
bulakii	बुलाकी
buland	बुलन्द
buldojar	बुल्डोजर
buleTin	बुलेटिन
buletin	बुलेटिन
bunchh	बुन्छ
bunda	बुन्दा
bundaa	बुन्दा
bundai	बुन्दै
bune	बुने
buneko	बुनेको
bunne	बुन्ने
bunnu	बुन्नु
bunyo	बुन्यो
burja	बुर्जा
burjaa	बुर्जा
burjuva	बुर्जुवा
burjuvaa	बुर्जुवा
burkusi	बुर्कुसी
burkusii	बुर्कुसी
burlukk	बुर्लुक्क
burukk	बुरुक्क
but	बुट
buta	बुता
butaa	बुता
buth	बुथ
buti	बुटी
butii	बुटी
buto	बुटो
butta	बुट्टा
buttaa	बुट्टा
butyaan	बुट्यान
butyan	बुट्यान
buuDhaabuuDhii	बूढाबूढी
buuDhaasubbaa	बूढासुब्बा
buuDhii	बूढी
buuDho	बूढो
buudhaabudhi	बूढाबूढी
buudhaabudhii	बूढाबूढी
buudhaabuudhi	बूढाबूढी
buudhaabuudhii	बूढाबूढी
buudhaasubba	बूढासुब्बा
buudhaasubbaa	बूढासुब्बा
buudhabudhi	बूढाबूढी
buudhabudhii	बूढाबूढी
buudhabuudhi	बूढाबूढी
buudhabuudhii	बूढाबूढी
buudhasubba	बूढासुब्बा
buudhasubbaa	बूढासुब्बा
buudhi	बूढी
buudhii	बूढी
buudho	बूढो
bu~d	बुँद
bu~daa	बुँदा
bu~de	बुँदे
byaaTi~N	ब्याटिङ
byaaTsamyaan	ब्याट्सम्यान
byaag	ब्याग
byaaj	ब्याज
byaajadar	ब्याजदर
byaanD	ब्यान्ड
byaanar	ब्यानर
byaand	ब्यान्ड
byaarej	ब्यारेज
byaarek	ब्यारेक
byaatin	ब्याटिङ
byaatsamyaan	ब्याट्सम्यान
byaatsamyan	ब्याट्सम्यान
byag	ब्याग
byaj	ब्याज
byajadar	ब्याजदर
byanar	ब्यानर
byand	ब्यान्ड
byarej	ब्यारेज
byarek	ब्यारेक
byatin	ब्याटिङ
byatsamyaan	ब्याट्सम्यान
byatsamyan	ब्याट्सम्यान
chaNDii	चण्डी
chaTTaan	चट्टान
chaTakk	चटक्क
chaTyaa~N	चट्याङ
chaaD	चाड
chaaDabaaD	चाडबाड
chaaDaparv	चाडपर्व
chaad	चाड
chaadabaad	चाडबाड
chaadabad	चाडबाड
chaadani	चाँदनी
chaadanii	चाँदनी
chaadaparv	चाडपर्व
chaado	चाँडो
chaah	चाह
chaahadai	चाहँदै
chaahanchh	चाहन्छ
chaahane	चाहने
chaahanu	चाहनु
chaaha~dai	चाहँदै
chaahe	चाहे
chaaheko	चाहेको
chaahi	चाहिँ
chaahi~	चाहिँ
chaahyo	चाह्यो
chaainij	चाइनिज
chaakaDii	चाकडी
chaakadi	चाकडी
chaakadii	चाकडी
chaakar	चाकर
chaakh	चाख
chaal	चाल
chaalachalan	चालचलन
chaalak	चालक
chaaliis	चालीस
chaalis	चालीस
chaalu	चालू
chaaluu	चालू
chaamlin	चाम्लिङ
chaamli~N	चाम्लिङ
chaan	चाङ
chaar	चार
chaaritrik	चारित्रिक
chaauri	चाउरी
chaaurii	चाउरी
chaa~Do	चाँडो
chaa~N	चाङ
chaa~danii	चाँदनी
chad	चाड
chadabaad	चाडबाड
chadabad	चाडबाड
chadani	चाँदनी
chadanii	चाँदनी
chadaparv	चाडपर्व
chado	चाँडो
chah	चाह
chahadai	चाहँदै
chahalapahal	चहलपहल
chahanchh	चाहन्छ
chahane	चाहने
chahanu	चाहनु
chahe	चाहे
chaheko	चाहेको
chahi	चाहिँ
chahyo	चाह्यो
chaiM	चैं
chain	चैं
chain	चैन
chainij	चाइनिज
chait	चैत
chaitany	चैतन्य
chaitr	चैत्र
chaity	चैत्य
chakadi	चाकडी
chakadii	चाकडी
chakaleT	चकलेट
chakalet	चकलेट
chakamann	चकमन्न
chakar	चाकर
chakh	चाख
chakit	चकित
chakkar	चक्कर
chakku	चक्कु
chakr	चक्र
chakravyuh	चक्रव्यूह
chakravyuuh	चक्रव्यूह
chal	चल
chal	चाल
chalaae	चलाए
chalaaeko	चलाएको
chalaakh	चलाख
chalaan	चलान
chalaauchh	चलाउँछ
chalaaudai	चलाउँदै
chalaaune	चलाउने
chalaaunu	चलाउनु
chalaau~chh	चलाउँछ
chalaau~dai	चलाउँदै
chalaayo	चलायो
chalachalan	चालचलन
chalachitr	चलचित्र
chalae	चलाए
chalaeko	चलाएको
chalak	चालक
chalakh	चलाख
chalakhel	चलखेल
chalan	चलन
chalan	चलान
chalanachalti	चलनचल्ती
chalanachaltii	चलनचल्ती
chalauchh	चलाउँछ
chalaudai	चलाउँदै
chalaune	चलाउने
chalaunu	चलाउनु
chalayo	चलायो
chalchh	चल्छ
chalda	चल्दा
chaldaa	चल्दा
chaldai	चल्दै
chale	चले
chaleko	चलेको
chaliis	चालीस
chalis	चालीस
chalne	चल्ने
chalnu	चल्नु
chalti	चल्ती
chaltii	चल्ती
chalu	चालू
chaluu	चालू
chalyo	चल्यो
chamaar	चमार
chamak	चमक
chamar	चमार
chamatkaar	चमत्कार
chamatkar	चमत्कार
chamcha	चम्चा
chamchaa	चम्चा
chameli	चमेली
chamelii	चमेली
chamkilo	चम्किलो
chamlin	चाम्लिङ
chan	चाङ
chana	चना
chanaa	चना
chanaakho	चनाखो
chanakho	चनाखो
chanchal	चञ्चल
chanchalata	चञ्चलता
chanchalataa	चञ्चलता
chanda	चन्दा
chandaa	चन्दा
chandan	चन्दन
chandi	चण्डी
chandii	चण्डी
chandr	चन्द्र
chandrama	चन्द्रमा
chandramaa	चन्द्रमा
changa	चङ्गा
changaa	चङ्गा
chapeTaa	चपेटा
chapeta	चपेटा
chapetaa	चपेटा
chappal	चप्पल
char	चार
charaN	चरण
charaachurungi	चराचुरुङ्गी
charaachurungii	चराचुरुङ्गी
charaachuru~Ngii	चराचुरुङ्गी
charachurungi	चराचुरुङ्गी
charachurungii	चराचुरुङ्गी
charam	चरम
charamotkarSh	चरमोत्कर्ष
charamotkarsh	चरमोत्कर्ष
charan	चरण
charan	चरन
charch	चर्च
charcha	चर्चा
charchaa	चर्चा
charchit	चर्चित
chares	चरेस
chari	चरी
charii	चरी
charitaarth	चरितार्थ
charitarth	चरितार्थ
charitr	चरित्र
charitrik	चारित्रिक
charko	चर्को
charo	चरो
charpi	चर्पी
charpii	चर्पी
chasma	चस्मा
chasmaa	चस्मा
chatakk	चटक्क
chattaan	चट्टान
chattan	चट्टान
chatur	चतुर
chaturdashi	चतुर्दशी
chaturdashii	चतुर्दशी
chaturth	चतुर्थ
chatyaan	चट्याङ
chatyan	चट्याङ
chauDaai	चौडाइ
chaubaaTo	चौबाटो
chaubaato	चौबाटो
chaubato	चौबाटो
chaubiis	चौबीस
chaubis	चौबीस
chaudaai	चौडाइ
chaudai	चौडाइ
chaudh	चौध
chauki	चौकी
chaukidaar	चौकीदार
chaukidar	चौकीदार
chaukii	चौकी
chaukiidaar	चौकीदार
chaukiidar	चौकीदार
chaupaT	चौपट
chaupaaya	चौपाया
chaupaayaa	चौपाया
chaupat	चौपट
chaupaya	चौपाया
chaupayaa	चौपाया
chaur	चउर
chaur	चौर
chauri	चाउरी
chaurii	चाउरी
chautaaro	चौतारो
chautaro	चौतारो
chauthaai	चौथाइ
chauthai	चौथाइ
chautho	चौथो
chayan	चयन
cha~Ngaa	चङ्गा
cha~nchal	चञ्चल
cha~nchalataa	चञ्चलता
chehara	चेहरा
cheharaa	चेहरा
chen	चेन
chep	चेप
chepaan	चेपाङ
chepaa~N	चेपाङ
chepan	चेपाङ
chet	चेत
chetana	चेतना
chetanaa	चेतना
chetanashiil	चेतनशील
chetanashil	चेतनशील
chha	छ
chhaD	छड
chhaDii	छडी
chhaDke	छड्के
chhaTaa	छटा
chhaTapaTii	छटपटी
chhaaDaa	छाडा
chhaada	छाडा
chhaadaa	छाडा
chhaaga	छाँगा
chhaagaa	छाँगा
chhaagaabaat	छाँगाबाट
chhaagaabat	छाँगाबाट
chhaagabaat	छाँगाबाट
chhaagabat	छाँगाबाट
chhaak	छाक
chhaal	छाल
chhaala	छाला
chhaalaa	छाला
chhaamchh	छाम्छ
chhaamda	छाम्दा
chhaamdaa	छाम्दा
chhaamdai	छाम्दै
chhaame	छामे
chhaameko	छामेको
chhaamne	छाम्ने
chhaamnu	छाम्नु
chhaamyo	छाम्यो
chhaanabin	छानबिन
chhaano	छानो
chhaap	छाप
chhaapaakhaana	छापाखाना
chhaapaakhaanaa	छापाखाना
chhaapaakhana	छापाखाना
chhaapaakhanaa	छापाखाना
chhaapakhaana	छापाखाना
chhaapakhaanaa	छापाखाना
chhaapakhana	छापाखाना
chhaapakhanaa	छापाखाना
chhaapchh	छाप्छ
chhaapda	छाप्दा
chhaapdaa	छाप्दा
chhaapdai	छाप्दै
chhaape	छापे
chhaapeko	छापेको
chhaapne	छाप्ने
chhaapnu	छाप्नु
chhaapro	छाप्रो
chhaapyo	छाप्यो
chhaaro	छारो
chhaat	छाँट
chhaata	छाता
chhaataa	छाता
chhaati	छाती
chhaatii	छाती
chhaatr	छात्र
chhaatra	छात्रा
chhaatraa	छात्रा
chhaatraavaas	छात्रावास
chhaatraavas	छात्रावास
chhaatrachhaatra	छात्रछात्रा
chhaatrachhaatraa	छात्रछात्रा
chhaatrachhatra	छात्रछात्रा
chhaatrachhatraa	छात्रछात्रा
chhaatravRRitti	छात्रवृत्ति
chhaatravaas	छात्रावास
chhaatravas	छात्रावास
chhaatravritti	छात्रवृत्ति
chhaau	छाउ
chhaauni	छाउनी
chhaaunii	छाउनी
chhaaya	छाया
chhaayaa	छाया
chhaayaankan	छायाङ्कन
chhaayaa~Nkan	छायाङ्कन
chhaayankan	छायाङ्कन
chhaa~T	छाँट
chhaa~gaa	छाँगा
chhaa~gaabaaT	छाँगाबाट
chhad	छड
chhada	छाडा
chhadaa	छाडा
chhadi	छडी
chhadii	छडी
chhadke	छड्के
chhadm	छद्म
chhaga	छाँगा
chhagaa	छाँगा
chhagaabaat	छाँगाबाट
chhagaabat	छाँगाबाट
chhagabaat	छाँगाबाट
chhagabat	छाँगाबाट
chhahaari	छहारी
chhahaarii	छहारी
chhahara	छहरा
chhaharaa	छहरा
chhahari	छहारी
chhaharii	छहारी
chhaiTauM	छैटौं
chhaiTau~	छैटौँ
chhaitau	छैटौँ
chhaitaun	छैटौं
chhak	छाक
chhakk	छक्क
chhakka	छक्का
chhakkaa	छक्का
chhal	छल
chhal	छाल
chhala	छाला
chhalaa	छाला
chhalaan	छलाङ
chhalaa~N	छलाङ
chhalakapaT	छलकपट
chhalakapat	छलकपट
chhalan	छलाङ
chhalaphal	छलफल
chhali	छली
chhalii	छली
chhamchh	छाम्छ
chhamda	छाम्दा
chhamdaa	छाम्दा
chhamdai	छाम्दै
chhame	छामे
chhameko	छामेको
chhamne	छाम्ने
chhamnu	छाम्नु
chhamyo	छाम्यो
chhanabin	छानबिन
chhanak	छनक
chhanauT	छनौट
chhanaut	छनौट
chhand	छन्द
chhandobaddh	छन्दोबद्ध
chhano	छानो
chhanoT	छनोट
chhanot	छनोट
